Primary key,Date,Intention,Standard Question,Standard answer
136,,See the goodness around me,"adipisicing elit. Nam, dolorem hic?","mtunrsriuimu
o "
447,,Make someone smile every day,Magni inventore ea illum nobis amet,itmmsdlfi
690,1 Hour ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem",snltema
114,13 Days ago,Lead by example,Lorem ipsum,"u Netltf tiei
fqi"
102,2 Hours ago,Manifest happiness naturally,"Labore, quae iste",a  gann
198,5 Days ago,Be kind,dolorum omnis odit.,"uv
advtiui"
652,1 Hour ago,Lead by example,veritatis earum blanditiis maiores fugiat,dtenaoens aoa
354,8 Minutes ago,Live this moment,"consectetur adipisicing elit. Unde, autem","Lalyt
e"
553,2 Hours ago,Forgive others and myself,Lorem ipsum,lssndt
788,8 Minutes ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,luih aed nm
234,8 Minutes ago,Lead by example,"Labore, quae iste"," euoeec
"
240,5 Days ago,Be kind,Saepe ab illum perferendis.,"a r,neea ona 
"
359,8 Minutes ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?",",uo rajru"
399,4 Days ago,Be kind,"accusantium excepturi minus, officia et reprehenderit","dioptsc ampl
n"
890,4 Days ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?",taoe  en
439,2 Hours ago,Lead by example,esse praesentium,"rutdad tttoe i "
515,13 Days ago,Make mindfulnes,Saepe ab illum perferendis.," oslrtco
uftl
frap"
499,2 Hours ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem",umtsnasoar
827,4 Days ago,Live this moment,Magni inventore ea illum nobis amet,mtdiete tc
564,10 Days ago,Manifest happiness naturally,Magni inventore ea illum nobis amet,"iteeaa 
a"
751,2 Hours ago,Forgive others and myself,veniam atque officiis consequuntur pariatur?,ssdtohp
846,30 Minutes ago,Lead by example,Lorem ipsum," i ceiosiadiese"
905,1 Hour ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",t.mpue
914,2 Hours ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?","o its uelsm  r  "
429,2 Minutes ago,Make someone smile every day,Saepe ab illum perferendis.," irceu
si"
701,2 Minutes ago,Live this moment,Lorem ipsum dolor sit amet,aenirtre
814,1 Hour ago,Make mindfulnes,"adipisicing elit. Nam, dolorem hic?","oituase
  uie"
520,4 Days ago,Be kind,"accusantium excepturi minus, officia et reprehenderit","a trouamsddsns
s"
808,,Lead by example,"Labore, quae iste","emnd
utoe  cr oNr"
933,2 Minutes ago,Make someone smile every day,veritatis earum blanditiis maiores fugiat,dt t lsi
991,1 Hour ago,Manifest happiness naturally,Saepe ab illum perferendis.,"cei drp
mrueiiet"
857,2 Hours ago,Make someone smile every day,"adipisicing elit. Nam, dolorem hic?","iorcens
"
316,4 Days ago,Make mindfulnes,dolorum omnis odit.," enohrhe.te nnoe"
125,2 Hours ago,Live this moment,Magni inventore ea illum nobis amet,"mmminua
t
c evrucr"
509,13 Days ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,rods.bhidmoc
763,30 Minutes ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",m  ndmsdrsaer
762,1 Hour ago,Love unconditionally,Magni inventore ea illum nobis amet,".s
tmiocdmesu"
627,,See the goodness around me,"adipisicing elit. Nam, dolorem hic?",cuu .oai
984,2 Minutes ago,Manifest happiness naturally,"Labore, quae iste","paramiii "
870,5 Days ago,Manifest happiness naturally,"accusantium excepturi minus, officia et reprehenderit","inne
a p "
383,2 Minutes ago,Make someone smile every day,Magni inventore ea illum nobis amet,"aiaa  "
112,8 Minutes ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,ui oii
107,4 Days ago,Manifest happiness naturally,"accusantium excepturi minus, officia et reprehenderit",sa  duionoeefnt q
617,2 Hours ago,Live this moment,dolor sit amet consectetur,"ab itsrlsder
 see"
399,10 Days ago,Make someone smile every day,Lorem ipsum,"sbprtei
sue 
laub"
964,4 Days ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,"yri
iebidtseemis "
328,13 Days ago,Be kind,"adipisicing elit. Nam, dolorem hic?",beintmiae fdeifta
471,30 Minutes ago,Live this moment,Lorem ipsum dolor sit amet,eeiirt umi
781,8 Minutes ago,Live this moment,esse praesentium,eriiravtutnrsma
780,2 Minutes ago,Be kind,Saepe ab illum perferendis.,s iludvecsrnhurt
420,4 Days ago,Love unconditionally,"Labore, quae iste",".esie
lma"
412,30 Minutes ago,Forgive others and myself,veniam atque officiis consequuntur pariatur?,"ulai
emelSSap
un"
247,8 Minutes ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit","uddnmdreup  "
475,2 Minutes ago,Love unconditionally,Lorem ipsum," aers
ie"
146,1 Hour ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",eel e atcqdse
462,13 Days ago,See the goodness around me,veritatis earum blanditiis maiores fugiat,"ios ili i.re "
894,5 Days ago,Lead by example,"accusantium excepturi minus, officia et reprehenderit","  m ro i"
659,2 Hours ago,Be kind,"consectetur adipisicing elit. Unde, autem","goo
ebeeo"
548,2 Hours ago,Make someone smile every day,Magni inventore ea illum nobis amet,"e  es
e pri"
893,13 Days ago,See the goodness around me,Saepe ab illum perferendis.,minoroossoou
152,8 Minutes ago,Forgive others and myself,"Labore, quae iste","acvnn unm
 r mt"
820,4 Days ago,Love unconditionally,veniam atque officiis consequuntur pariatur?,Hiddpnieperasa
628,8 Minutes ago,Lead by example,dolor sit amet consectetur,"  re
u"
329,2 Minutes ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit",tua aoqes.
769,30 Minutes ago,See the goodness around me,Saepe ab illum perferendis.,"a riinaoesdr
t "
330,2 Hours ago,Be kind,"accusantium excepturi minus, officia et reprehenderit",Hhp hioh.srimas s
953,5 Days ago,Lead by example,"adipisicing elit. Nam, dolorem hic?","
   nu"
263,5 Days ago,Lead by example,veniam atque officiis consequuntur pariatur?,"eee uui,ne dd  "
414,4 Days ago,Live this moment,dolor sit amet consectetur,"
uutnubieid"
775,2 Minutes ago,Manifest happiness naturally,"accusantium excepturi minus, officia et reprehenderit"," dqrleaas"
490,30 Minutes ago,Make mindfulnes,Saepe ab illum perferendis.,nasle.eimeiptoe
458,30 Minutes ago,Live this moment,veritatis earum blanditiis maiores fugiat,"f irue "
885,5 Days ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?","
asitiiiiea"
548,2 Hours ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem","tfdco d
 vc"
235,30 Minutes ago,Lead by example,Lorem ipsum,"
uimsusea"
371,2 Minutes ago,Forgive others and myself,"consectetur adipisicing elit. Unde, autem","aennfpfd tsr
  s"
773,2 Hours ago,Make someone smile every day,dolorum omnis odit.,hhr ismaegm
205,5 Days ago,Lead by example,Lorem ipsum,rls uoioinlsa
652,4 Days ago,Lead by example,Saepe ab illum perferendis.,"rsuounn e m
uemroa"
323,,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",eadoeno
627,2 Minutes ago,Lead by example,Aperiam reiciendis neque eveniet unde,"sodatirtines "
690,5 Days ago,Manifest happiness naturally,"Labore, quae iste",slmimv
109,30 Minutes ago,Forgive others and myself,"consectetur adipisicing elit. Unde, autem"," rhaimcigomb
"
971,5 Days ago,Be kind,Lorem ipsum,uo  di uomtxiSscq
280,10 Days ago,Live this moment,Saepe ab illum perferendis.,heieieo mhenrdrmee
375,5 Days ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit"," cutupooii
"
685,8 Minutes ago,Make mindfulnes,"accusantium excepturi minus, officia et reprehenderit","t tH
mltb"
847,1 Hour ago,Be kind,esse praesentium,"  
tuevetrce,a"
328,2 Minutes ago,Be kind,dolorum omnis odit.,gm.rrdni
462,10 Days ago,Love unconditionally,"Labore, quae iste"," at tep"
618,1 Hour ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem"," n  s.ss"
727,5 Days ago,Be kind,esse praesentium,"imoie U
sc
 pnaals"
983,8 Minutes ago,Forgive others and myself,"accusantium excepturi minus, officia et reprehenderit",teosrao r
743,30 Minutes ago,Forgive others and myself,veritatis earum blanditiis maiores fugiat," te, e
tarlur"
480,2 Hours ago,Make mindfulnes,Lorem ipsum,ienlie moaoun
407,2 Hours ago,See the goodness around me,dolorum omnis odit.,bstcidqiis
545,13 Days ago,Live this moment,"Labore, quae iste","ur,nise"
784,8 Minutes ago,Live this moment,veritatis earum blanditiis maiores fugiat,uuserart op
186,5 Days ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,eneefermiel.
376,4 Days ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,"rmnt p
. nmc xpin "
921,4 Days ago,Live this moment,Lorem ipsum dolor sit amet,lnermae
421,2 Minutes ago,Lead by example,dolor sit amet consectetur,an idl
809,30 Minutes ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde,"suilmt
 aehot"
734,1 Hour ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde,"  drotjnri,"
409,13 Days ago,See the goodness around me,dolor sit amet consectetur,"ldo n t lli sil
"
994,2 Hours ago,Forgive others and myself,Lorem ipsum,oiapo onctu
101,1 Hour ago,Make someone smile every day,dolorum omnis odit.," vu

seUm.o."
778,8 Minutes ago,Be kind,"consectetur adipisicing elit. Unde, autem","rLmiutuf 
oeguinn"
609,13 Days ago,Manifest happiness naturally,Lorem ipsum,gaeorbe
636,1 Hour ago,Make mindfulnes,"Labore, quae iste"," s loa
rit "
239,4 Days ago,Love unconditionally,"consectetur adipisicing elit. Unde, autem","
.edtiseesi cm "
202,2 Hours ago,Manifest happiness naturally,Saepe ab illum perferendis.,"i sc taa o,e estce"
862,2 Minutes ago,Make someone smile every day,"Labore, quae iste","eu te
 iie"
284,8 Minutes ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?","miueu 
tii"
686,5 Days ago,Manifest happiness naturally,Magni inventore ea illum nobis amet,ei ae ia nisr
709,13 Days ago,Lead by example,esse praesentium," c oetel eee etn"
652,4 Days ago,Make someone smile every day,esse praesentium,bimmiemiaatnommmc
338,1 Hour ago,Forgive others and myself,veniam atque officiis consequuntur pariatur?,"fvritapa
em etea"
843,8 Minutes ago,Forgive others and myself,veritatis earum blanditiis maiores fugiat,".se
iicmclufrahnim"
658,13 Days ago,Be kind,veritatis earum blanditiis maiores fugiat,opiiniehcoaiuvtm u
706,30 Minutes ago,See the goodness around me,Aperiam reiciendis neque eveniet unde," r uccd ps "
994,13 Days ago,Live this moment,"consectetur adipisicing elit. Unde, autem",ocptmqneil
270,10 Days ago,Live this moment,Lorem ipsum dolor sit amet,"truessreee
ils"
130,1 Hour ago,See the goodness around me,"adipisicing elit. Nam, dolorem hic?",cieoiesr
821,,Make someone smile every day,Saepe ab illum perferendis.,iaq  osrais
712,4 Days ago,See the goodness around me,Magni inventore ea illum nobis amet,oetrete ito
480,8 Minutes ago,Make someone smile every day,"accusantium excepturi minus, officia et reprehenderit","vt
se taircnie"
545,2 Hours ago,Live this moment,Lorem ipsum dolor sit amet,eaeaeusmstnrtcm.ae
715,,Manifest happiness naturally,Lorem ipsum,usref  e mfitrUe
253,,Live this moment,Magni inventore ea illum nobis amet,r diiy aiahpian
144,2 Hours ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,xeirdsvaltrcruiuo
456,8 Minutes ago,Love unconditionally,esse praesentium,r inlepseutie
835,4 Days ago,Lead by example,veniam atque officiis consequuntur pariatur?,"auhsqihrbd
pertiet"
171,5 Days ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?,"palmr,a"
326,10 Days ago,See the goodness around me,Saepe ab illum perferendis.,meoeteoi iu
884,2 Minutes ago,See the goodness around me,"consectetur adipisicing elit. Unde, autem",sm.gtluityl
686,2 Minutes ago,See the goodness around me,Lorem ipsum,mtopl e h
619,4 Days ago,Be kind,Magni inventore ea illum nobis amet,"omi jeiitreuiis "
761,2 Hours ago,Lead by example,Saepe ab illum perferendis.,asl iafo mit
804,4 Days ago,Make someone smile every day,dolor sit amet consectetur,"ui rie
a"
201,,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem","iaim
  
t"
819,8 Minutes ago,Forgive others and myself,esse praesentium,.ge iirnstuverist
254,1 Hour ago,Be kind,dolorum omnis odit.,"e..ffi  eoi "
806,10 Days ago,Make someone smile every day,Saepe ab illum perferendis.,"pelaniaeisn "
807,30 Minutes ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,"pnet. l
pHir"
234,,Make someone smile every day,Lorem ipsum dolor sit amet,nohnrrmtm
262,1 Hour ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?,"mflettlim "
800,10 Days ago,Make someone smile every day,Saepe ab illum perferendis.,ioiehat sNsl
866,4 Days ago,Manifest happiness naturally,"consectetur adipisicing elit. Unde, autem",anotis
626,2 Minutes ago,Love unconditionally,veniam atque officiis consequuntur pariatur?,"abi
n rgur"
403,1 Hour ago,Lead by example,Lorem ipsum,iad u oL
757,5 Days ago,Love unconditionally,Saepe ab illum perferendis.,"pdUtr dls oo,sm "
747,5 Days ago,Make someone smile every day,esse praesentium,nL ear  cafs
872,4 Days ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,itoa epdae
907,4 Days ago,Live this moment,Saepe ab illum perferendis.,soeniollclay
683,,Forgive others and myself,veniam atque officiis consequuntur pariatur?," uin et "
545,30 Minutes ago,Manifest happiness naturally,dolor sit amet consectetur,"eo ssotttere  "
204,,Lead by example,"accusantium excepturi minus, officia et reprehenderit","soht
Lcpeenvc"
951,10 Days ago,Manifest happiness naturally,Lorem ipsum,macdton nclttcb iU
667,2 Minutes ago,Lead by example,"Labore, quae iste",ctpine
920,2 Hours ago,Forgive others and myself,"adipisicing elit. Nam, dolorem hic?","nd 

tsiotcametsuq"
568,2 Minutes ago,Love unconditionally,"Labore, quae iste","rn
tni. itt"
529,2 Minutes ago,Lead by example,veritatis earum blanditiis maiores fugiat,"rrnd.u "
675,1 Hour ago,Live this moment,dolor sit amet consectetur,pnuoaeii
198,2 Hours ago,Manifest happiness naturally,Aperiam reiciendis neque eveniet unde,tuiuslatnna
723,4 Days ago,Be kind,Aperiam reiciendis neque eveniet unde,"ees
e  "
592,5 Days ago,Make someone smile every day,Lorem ipsum," m gm ee  csptaat"
433,4 Days ago,Be kind,esse praesentium,fleeisbrtid
323,30 Minutes ago,Forgive others and myself,"consectetur adipisicing elit. Unde, autem","mieLn "
725,,See the goodness around me,dolorum omnis odit.,",emioi,
dorrmri"
116,30 Minutes ago,Love unconditionally,"adipisicing elit. Nam, dolorem hic?",cpe ul t
835,13 Days ago,Make mindfulnes,dolor sit amet consectetur,"lvtenge
alsip"
141,,Live this moment,Magni inventore ea illum nobis amet,"i
ojomiigii eic"
803,5 Days ago,Make someone smile every day,Magni inventore ea illum nobis amet,rrjtnutpcbn flamo
288,1 Hour ago,Lead by example,"adipisicing elit. Nam, dolorem hic?",ft eeueuse
206,5 Days ago,Forgive others and myself,esse praesentium,"e icfma
de."
416,13 Days ago,Make someone smile every day,Lorem ipsum,rnpnpr
405,10 Days ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit",ue hpsomemxaiem
888,13 Days ago,See the goodness around me,dolorum omnis odit.,iinogiN nseo
795,13 Days ago,Manifest happiness naturally,"adipisicing elit. Nam, dolorem hic?","i h qineinlc
i"
469,1 Hour ago,Be kind,Saepe ab illum perferendis.,evoppr ie
701,5 Days ago,Love unconditionally,Lorem ipsum dolor sit amet,isiuedr mtnudto
980,10 Days ago,Love unconditionally,Lorem ipsum dolor sit amet," lieulueo.
neoie"
203,2 Minutes ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,aaeiierdai
683,10 Days ago,Love unconditionally,"accusantium excepturi minus, officia et reprehenderit","irsodeosluye
  "
729,2 Hours ago,Be kind,veritatis earum blanditiis maiores fugiat,"ui,dusmce"
345,5 Days ago,Make someone smile every day,"consectetur adipisicing elit. Unde, autem",s p osmtdocei a
330,10 Days ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,eiasi ta
323,13 Days ago,Lead by example,"adipisicing elit. Nam, dolorem hic?","iisl dir,ef"
302,1 Hour ago,Make mindfulnes,Lorem ipsum,"ilitt.i. "
999,1 Hour ago,Forgive others and myself,Lorem ipsum dolor sit amet,"entu 
"
151,10 Days ago,Lead by example,Aperiam reiciendis neque eveniet unde,"nansmd "
518,1 Hour ago,Forgive others and myself,Aperiam reiciendis neque eveniet unde,"snsnhs  "
450,4 Days ago,Make someone smile every day,Aperiam reiciendis neque eveniet unde,t cuspfm ip.rl
746,2 Hours ago,See the goodness around me,"accusantium excepturi minus, officia et reprehenderit",mtc uiie
586,2 Minutes ago,Forgive others and myself,dolorum omnis odit.,muLduj m
142,2 Hours ago,See the goodness around me,"Labore, quae iste",soailstl ud
766,13 Days ago,Live this moment,"accusantium excepturi minus, officia et reprehenderit",iavatumo
405,1 Hour ago,Manifest happiness naturally,veritatis earum blanditiis maiores fugiat,e p aa sohp
283,2 Minutes ago,See the goodness around me,veniam atque officiis consequuntur pariatur?,e epeeesesitnco
892,2 Minutes ago,Make mindfulnes,veniam atque officiis consequuntur pariatur?,ce uaLieide
610,,Be kind,Aperiam reiciendis neque eveniet unde,cilon xuireid
746,8 Minutes ago,Live this moment,dolor sit amet consectetur,svfe.loehu
678,8 Minutes ago,Live this moment,"consectetur adipisicing elit. Unde, autem",mueem la
577,1 Hour ago,Love unconditionally,veniam atque officiis consequuntur pariatur?,crniae
437,2 Minutes ago,Make someone smile every day,"adipisicing elit. Nam, dolorem hic?","e ee im,idu"
