id,date,intention,standard_question,standard_answer
27,1 Hour ago,Make someone smile every day,accusantium excepturi minus officia et reprehenderit,illum dolorum omnis odit
28,10 Days ago,Love unconditionally,Lorem ipsum dolor sit amet,Saepe ab illum perferendis
29,8 Minutes ago,Manifest,Magni inventore ea illum nobis amet,illum dolorum omnis odit
30,8 Minutes ago,Live this moment,Lorem ipsum,Lorem ipsum
31,10 Days ago,Make mindfulnes,Saepe ab illum perferendis.,yabk labore quae iste
32,8 Minutes ago,Love unconditionally,Lorem ipsum,adipisicing elit Nam
33,30 Minutes ago,Live this moment,consectetur adipisicing elit Unde autem,illum dolorum omnis odit
34,2 Hours ago,Lead by example,veritatis earum blanditiis maiores fugiat,dolor sit amet consectetur
35,4 Days ago,See the goodness around me,Saepe ab illum perferendis.,reiciendis neque eveniet unde
36,30 Minutes ago,Love unconditionally,Magni inventore ea illum nobis amet,esse praesentium
37,5 Days ago,Make someone smile every day,dolor sit amet consectetur,pe ab illum esse praesentium
38,13 Days ago,Happiness naturally,dolorum omnis odit.,Lorem ipsum
39,2 Hours ago,Make mindfulnes,Saepe ab illum perferendis.,pe ab illum reiciendis neque eveniet unde
40,10 Days ago,Love unconditionally,accusantium excepturi minus officia et reprehenderit,jashd consectetur adipisicing elit autem
41,4 Days ago,Love unconditionally,Saepe ab illum perferendis.,pe ab illum esse praesentium
42,5 Days ago,Love unconditionally,adipisicing elit. Nam dolorem hic?,Saepe ab illum perferendis
43,8 Minutes ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,inventore ea illum nobis amet
44,13 Days ago,Happiness naturally,esse praesentium,yabk labore quae iste
45,10 Days ago,Lead by example,adipisicing elit. Nam dolorem hic?,illum dolorum omnis odit
46,4 Days ago,Lead by example,Lorem ipsum,pe ab illum Saepe ab illum perferendis
47,1 Hour ago,Forgive others and myself,dolor sit amet consectetur,esse praesentium
48,5 Days ago,Happiness naturally,veniam atque officiis consequuntur pariatur?,yabk labore quae iste
49,4 Days ago,Lead by example,Saepe ab illum perferendis.,adipisicing elit Nam
50,10 Days ago,Lead by example,dolorum omnis odit.,adipisicing elit Nam
51,2 Minutes ago,Make someone smile every day,dolorum omnis odit.,dolorum omnis odit
52,2 Hours ago,Make someone smile every day,veritatis earum blanditiis maiores fugiat,Saepe ab illum perferendis
53,4 Days ago,Happiness naturally,consectetur adipisicing elit Unde autem,yabk labore quae iste
54,5 Days ago,Make someone smile every day,Lorem ipsum,illum dolorum omnis odit
55,5 Days ago,Live this moment,esse praesentium,dolor sit amet consectetur
56,8 Minutes ago,Lead by example,veniam atque officiis consequuntur pariatur?,pe ab illum Saepe ab illum perferendis
57,2 Minutes ago,Lead by example,esse praesentium,inventore ea illum nobis amet
58,1 Hour ago,Be kind,esse praesentium,Lorem ipsum
59,4 Days ago,Love unconditionally,Lorem ipsum dolor sit amet,esse praesentium
60,8 Minutes ago,Be kind,adipisicing elit. Nam dolorem hic?,accusantium excepturi minus officia et reprehenderit
61,2 Hours ago,See the goodness around me,Aperiam reiciendis neque eveniet unde,hai veritatis earum blanditiis maiores fugiat yahsdn
62,10 Days ago,Be kind,veritatis earum blanditiis maiores fugiat,Lorem ipsum
63,8 Minutes ago,Forgive others and myself,Lorem ipsum,Lorem ipsum
64,13 Days ago,See the goodness around me,Lorem ipsum dolor sit amet,Saepe ab illum perferendis
65,13 Days ago,Love unconditionally,Aperiam reiciendis neque eveniet unde,adipisicing elit Nam
66,30 Minutes ago,Make someone smile every day,veniam atque officiis consequuntur pariatur?,reiciendis neque eveniet unde
67,5 Days ago,Lead by example,veritatis earum blanditiis maiores fugiat,reiciendis neque eveniet unde
68,2 Hours ago,Manifest,veritatis earum blanditiis maiores fugiat,reiciendis neque eveniet unde
69,2 Hours ago,Love unconditionally,accusantium excepturi minus officia et reprehenderit,inventore ea illum nobis amet
70,2 Hours ago,Live this moment,veritatis earum blanditiis maiores fugiat,inventore ea illum nobis amet
71,30 Minutes ago,Forgive others and myself,dolor sit amet consectetur,Saepe ab illum perferendis
72,13 Days ago,Love unconditionally,Saepe ab illum perferendis.,inventore ea illum nobis amet
73,1 Hour ago,Happiness naturally,veniam atque officiis consequuntur pariatur?,pe ab illum Saepe ab illum perferendis
74,1 Hour ago,Happiness naturally,Aperiam reiciendis neque eveniet unde,Lorem ipsum
75,10 Days ago,Make mindfulnes,veritatis earum blanditiis maiores fugiat,pe ab illum dolor sit amet consectetur
76,5 Days ago,Manifest,Saepe ab illum perferendis.,Lorem ipsum
77,8 Minutes ago,Lead by example,veniam atque officiis consequuntur pariatur?,yabk labore quae iste
